Connector Code,Min Conductor (mm²),Max Conductor (mm²),Type,Material
SBC-A-25-95-12/1-AL,25,95,shear-bolt,Aluminum
SBC-A-25-95-16/1-AL,25,95,shear-bolt,Aluminum
SBC-A-35-150-12/1-AL,35,150,shear-bolt,Aluminum
SBC-A-35-150-16/1-AL,35,150,shear-bolt,Aluminum
SBC-A-35-150-12/2-AL,35,150,shear-bolt,Aluminum
SBC-A-35-150-16/2-AL,35,150,shear-bolt,Aluminum
SBC-A-70-240-12/2-AL,70,240,shear-bolt,Aluminum
SBC-A-70-240-16/2-AL,70,240,shear-bolt,Aluminum
SBC-A-120-300-12/2-AL,120,300,shear-bolt,Aluminum
SBC-A-120-300-16/2-AL,120,300,shear-bolt,Aluminum
SBC-A-185-400-12/3-AL,185,400,shear-bolt,Aluminum
SBC-A-185-400-16/3-AL,185,400,shear-bolt,Aluminum
SBC-A-300-630-12/3-AL,300,630,shear-bolt,Aluminum
SBC-A-300-630-16/3-AL,300,630,shear-bolt,Aluminum
SBC-A-300-630-20/3-AL,300,630,shear-bolt,Aluminum
DTM-16-8,16,16,compression,Copper
DTM-25-8,25,25,compression,Copper
DTM-35-10,35,35,compression,Copper
DTM-50-10,50,50,compression,Copper
DTM-70-12,70,70,compression,Copper
DTM-95-12,95,95,compression,Copper
DTM-120-14,120,120,compression,Copper
DTM-150-14,150,150,compression,Copper
DTM-185-16,185,185,compression,Copper
DTM-240-16,240,240,compression,Copper
DTM-300-20,300,300,compression,Copper
DTM-400-20,400,400,compression,Copper
CTAL-16-8,16,16,compression,Aluminum
CTAL-16-10,16,16,compression,Aluminum
CTAL-25-8,25,25,compression,Aluminum
CTAL-25-10,25,25,compression,Aluminum
CTAL-35-8,35,35,compression,Aluminum
CTAL-35-10,35,35,compression,Aluminum
CTAL-50-10,50,50,compression,Aluminum
CTAL-50-12,50,50,compression,Aluminum
CTAL-70-10,70,70,compression,Aluminum
CTAL-70-12,70,70,compression,Aluminum
CTAL-95-8,95,95,compression,Aluminum
CTAL-95-10,95,95,compression,Aluminum
CTAL-95-12,95,95,compression,Aluminum
CTAL-120-10,120,120,compression,Aluminum
CTAL-120-12,120,120,compression,Aluminum
CTAL-120-16,120,120,compression,Aluminum
CTAL-185-12,185,185,compression,Aluminum
CTAL-185-16,185,185,compression,Aluminum
CTAL-240-12,240,240,compression,Aluminum
CTAL-240-16,240,240,compression,Aluminum
CTAL-300-12,300,300,compression,Aluminum
CTAL-300-16,300,300,compression,Aluminum
CTAL-400-16,400,400,compression,Aluminum
CTAL-500-16,500,500,compression,Aluminum
